CODGEO;LIBGEO;AAV2020;LIBAAV2020;CATEAAV2020;DEP;REG
21608;Sincey-lès-Rouvray;000;Commune hors attraction des villes;30;21;27
21609;Soirans;028;Dijon;20;21;27
21610;Soissons-sur-Nacey;028;Dijon;20;21;27
21611;Sombernon;028;Dijon;20;21;27
21612;Souhey;392;Semur-en-Auxois;20;21;27
21613;Soussey-sur-Brionne;000;Commune hors attraction des villes;30;21;27
21614;Spoy;028;Dijon;20;21;27
21615;Sussey;000;Commune hors attraction des villes;30;21;27
21616;Tailly;174;Beaune;20;21;27
21617;Talant;028;Dijon;12;21;27
21618;Talmay;028;Dijon;20;21;27
21619;Tanay;028;Dijon;20;21;27
21620;Tarsul;028;Dijon;20;21;27
21622;Tart-le-Bas;028;Dijon;20;21;27
21623;Tart;028;Dijon;20;21;27
21624;Tellecey;028;Dijon;20;21;27
21625;Ternant;028;Dijon;20;21;27
21626;Terrefondrée;365;Châtillon-sur-Seine;20;21;27
21627;Thenissey;000;Commune hors attraction des villes;30;21;27
21628;Thoires;365;Châtillon-sur-Seine;20;21;27
21629;Thoisy-la-Berchère;000;Commune hors attraction des villes;30;21;27
21630;Thoisy-le-Désert;000;Commune hors attraction des villes;30;21;27
21631;Thomirey;000;Commune hors attraction des villes;30;21;27
21632;Thorey-en-Plaine;028;Dijon;20;21;27
21633;Thorey-sous-Charny;000;Commune hors attraction des villes;30;21;27
21634;Thorey-sur-Ouche;028;Dijon;20;21;27
21635;Thoste;392;Semur-en-Auxois;20;21;27
21636;Thury;000;Commune hors attraction des villes;30;21;27
21637;Tichey;000;Commune hors attraction des villes;30;21;27
21638;Til-Châtel;028;Dijon;20;21;27
21639;Tillenay;028;Dijon;20;21;27
21640;Torcy-et-Pouligny;392;Semur-en-Auxois;20;21;27
21641;Touillon;442;Montbard;20;21;27
21642;Toutry;279;Avallon;20;21;27
21643;Tréclun;028;Dijon;20;21;27
21644;Trochères;028;Dijon;20;21;27
21645;Trouhans;028;Dijon;20;21;27
21646;Trouhaut;028;Dijon;20;21;27
21647;Trugny;000;Commune hors attraction des villes;30;21;27
21648;Turcey;028;Dijon;20;21;27
21649;Uncey-le-Franc;000;Commune hors attraction des villes;30;21;27
21650;Urcy;028;Dijon;20;21;27
21651;Val-Suzon;028;Dijon;20;21;27
